episode,reward,throughput_Mbps,fairness
1,2.4053,0.01,0.8604
2,2.4046,0.01,0.8093
3,2.3702,0.01,0.8043
4,2.3386,0.01,0.7912
5,2.3307,0.01,0.6805
6,2.3844,0.01,0.8177
7,2.3672,0.01,0.7564
8,2.4305,0.01,0.8875
9,2.3551,0.01,0.8222
10,2.3049,0.01,0.7186
11,2.3562,0.01,0.7033
12,2.4037,0.01,0.8522
13,2.4548,0.01,0.8748
14,2.4778,0.01,0.858
15,2.4483,0.01,0.7915
16,2.3452,0.01,0.7425
17,2.3603,0.01,0.7595
18,2.3637,0.01,0.7915
19,2.4156,0.01,0.8351
20,2.3325,0.01,0.7478
21,2.3819,0.01,0.7614
22,2.3461,0.01,0.8442
23,2.303,0.01,0.8259
24,2.5251,0.01,0.8549
25,2.3829,0.01,0.8747
26,2.3221,0.01,0.8121
27,2.379,0.01,0.8485
28,2.4038,0.01,0.7892
29,2.2997,0.01,0.826
30,2.4281,0.01,0.8251
31,2.3889,0.01,0.7624
32,2.4195,0.01,0.8333
33,2.4084,0.01,0.7405
34,2.4369,0.01,0.8076
35,2.3625,0.01,0.851
36,2.3097,0.01,0.8178
37,2.4119,0.01,0.7993
38,2.4646,0.01,0.8885
39,2.4418,0.01,0.64
40,2.3179,0.01,0.6907
41,2.3994,0.01,0.8212
42,2.4225,0.01,0.6672
43,2.4289,0.01,0.7672
44,2.3285,0.01,0.7906
45,2.4102,0.01,0.8583
46,2.3871,0.01,0.7553
47,2.3552,0.01,0.7971
48,2.4034,0.01,0.8378
49,2.405,0.01,0.757
50,2.377,0.01,0.6903
51,2.4239,0.01,0.7907
52,2.4141,0.01,0.8686
53,2.4684,0.01,0.8506
54,2.3998,0.01,0.8189
55,2.3597,0.01,0.8818
56,2.4387,0.01,0.7886
57,2.3431,0.01,0.8276
58,2.3761,0.01,0.8511
59,2.3748,0.01,0.8935
60,2.3726,0.01,0.8776
61,2.3835,0.01,0.8204
62,2.361,0.01,0.7799
63,2.4252,0.01,0.8249
64,2.3747,0.01,0.7854
65,2.4221,0.01,0.782
66,2.3749,0.01,0.7573
67,2.3444,0.01,0.7419
68,2.4193,0.01,0.7857
69,2.3721,0.01,0.8393
70,2.3546,0.01,0.7611
71,2.4492,0.01,0.8309
72,2.3121,0.01,0.7097
73,2.4159,0.01,0.757
74,2.3894,0.01,0.7809
75,2.3485,0.01,0.6981
76,2.3448,0.01,0.7857
77,2.4754,0.01,0.802
78,2.3306,0.01,0.7245
79,2.3839,0.01,0.8118
80,2.3208,0.01,0.7463
81,2.3883,0.01,0.8092
82,2.3714,0.01,0.8688
83,2.3655,0.01,0.8176
84,2.4006,0.01,0.8446
85,2.3997,0.01,0.8521
86,2.3125,0.01,0.6726
87,2.499,0.01,0.8627
88,2.4505,0.01,0.8161
89,2.418,0.01,0.8217
90,2.4065,0.01,0.8131
91,2.3786,0.01,0.7919
92,2.2809,0.01,0.6798
93,2.3916,0.01,0.8154
94,2.3142,0.01,0.8273
95,2.3436,0.01,0.7621
96,2.3322,0.01,0.8077
97,2.3424,0.01,0.8176
98,2.3658,0.01,0.8164
99,2.3441,0.01,0.7831
100,2.385,0.01,0.9036
101,2.4347,0.01,0.8101
102,2.3696,0.01,0.7094
103,2.4109,0.01,0.8715
104,2.4443,0.01,0.9191
105,2.3534,0.01,0.7976
106,2.3637,0.01,0.8088
107,2.4553,0.01,0.7889
108,2.3765,0.01,0.8569
109,2.379,0.01,0.8427
110,2.4492,0.01,0.814
111,2.3657,0.01,0.7439
112,2.433,0.01,0.838
113,2.3588,0.01,0.8591
114,2.4007,0.01,0.7798
115,2.3203,0.01,0.7308
116,2.3194,0.01,0.7827
117,2.3178,0.01,0.8463
118,2.4571,0.01,0.8845
119,2.4062,0.01,0.7448
120,2.3907,0.01,0.7868
121,2.373,0.01,0.7377
122,2.3859,0.01,0.7319
123,2.3926,0.01,0.8463
124,2.3301,0.01,0.7807
125,2.4148,0.01,0.8716
126,2.3594,0.01,0.8262
127,2.4044,0.01,0.8061
128,2.3278,0.01,0.8623
129,2.4092,0.01,0.762
130,2.291,0.01,0.7326
131,2.418,0.01,0.8825
132,2.3685,0.01,0.7863
133,2.2875,0.01,0.6982
134,2.3908,0.01,0.7916
135,2.381,0.01,0.7122
136,2.383,0.01,0.807
137,2.4372,0.01,0.8187
138,2.4371,0.01,0.881
139,2.3866,0.01,0.8771
140,2.446,0.01,0.8338
141,2.359,0.01,0.7727
142,2.3893,0.01,0.8471
143,2.3687,0.01,0.7912
144,2.3864,0.01,0.747
145,2.3878,0.01,0.7572
146,2.3978,0.01,0.8156
147,2.3089,0.01,0.7895
148,2.3933,0.01,0.7836
149,2.4767,0.01,0.8995
150,2.3291,0.01,0.7063
151,2.4083,0.01,0.889
152,2.4394,0.01,0.7516
153,2.3455,0.01,0.7142
154,2.3722,0.01,0.8598
155,2.4261,0.01,0.7603
156,2.4847,0.01,0.8726
157,2.4297,0.01,0.8638
158,2.3569,0.01,0.7396
159,2.464,0.01,0.8329
160,2.4059,0.01,0.8331
161,2.454,0.01,0.7828
162,2.2476,0.01,0.7563
163,2.4744,0.01,0.8586
164,2.3868,0.01,0.7103
165,2.3646,0.01,0.8087
166,2.4335,0.01,0.8658
167,2.3531,0.01,0.7514
168,2.3683,0.01,0.8637
169,2.3127,0.01,0.7325
170,2.4258,0.01,0.84
171,2.3858,0.01,0.8377
172,2.3651,0.01,0.7576
173,2.3683,0.01,0.8577
174,2.4405,0.01,0.7913
175,2.4889,0.01,0.8102
176,2.4338,0.01,0.8045
177,2.3963,0.01,0.7121
178,2.5028,0.01,0.8631
179,2.3696,0.01,0.8137
180,2.4572,0.01,0.7677
181,2.3529,0.01,0.8955
182,2.4313,0.01,0.8298
183,2.3953,0.01,0.7249
184,2.3394,0.01,0.835
