epoch,train_loss,val_loss,train_acc_pct,val_acc_pct
1,0.26112,0.12547,93.58,96.56
2,0.16363,0.15273,95.41,95.58
3,0.13443,0.1298,96.34,96.27
4,0.14338,0.13741,95.95,95.97
5,0.13497,0.14954,96.19,95.78
6,0.13644,0.13544,96.09,96.07
7,0.14106,0.13431,95.97,95.88
8,0.12557,0.12306,96.34,96.27
9,0.12019,0.11821,96.26,96.07
10,0.11786,0.14588,96.53,95.78
11,0.12688,0.12844,95.68,95.68
12,0.13207,0.11959,95.58,95.88
13,0.10377,0.10856,96.73,96.56
14,0.11166,0.11494,96.48,96.07
15,0.11368,0.09623,96.26,97.05
16,0.14074,0.12361,95.14,96.12
17,0.11536,0.10803,96.88,97.24
18,0.11793,0.1128,96.83,96.24
19,0.0866,0.09523,97.66,97.54
20,0.09266,0.0854,97.46,98.02
21,0.09005,0.09073,97.49,97.44
22,0.10368,0.11496,96.95,96.46
23,0.08549,0.08287,97.66,97.54
24,0.08788,0.08634,97.63,97.93
25,0.10057,0.09625,96.88,97.24
26,0.08725,0.10713,97.63,97.22
27,0.08494,0.09683,97.75,97.24
28,0.09832,0.10235,96.75,96.95
29,0.09328,0.08969,97.0,97.24
30,0.07991,0.08771,97.83,97.63
31,0.07306,0.10699,98.1,97.73
32,0.07834,0.08422,97.83,97.61
33,0.09091,0.09199,97.53,97.44
34,0.08462,0.07913,97.61,98.12
35,0.09549,0.09585,97.31,97.15
36,0.07391,0.07367,97.95,98.12
37,0.08452,0.08146,97.73,97.83
38,0.10454,0.10582,96.66,97.24
39,0.13437,0.1286,95.65,96.3
40,0.10175,0.10242,97.09,97.15
41,0.10435,0.09133,97.07,97.44
42,0.10418,0.10613,97.02,97.34
43,0.09606,0.09719,97.44,97.24
44,0.07283,0.09397,98.0,97.73
45,0.07699,0.10964,97.75,97.24
46,0.09149,0.08619,97.41,97.63
47,0.06939,0.10143,97.9,97.93
48,0.07213,0.09098,97.9,97.42
49,0.09768,0.11799,96.97,97.15
50,0.0908,0.08672,97.02,97.73
